respondent_id,contact_date,channel,action_type,time_to_response_hours
R001,2024-10-28,Email,opened,
R001,2024-03-26,Phone,sent,
R001,2024-09-09,Phone,sent,
R002,2024-01-21,Phone,sent,
R002,2024-09-13,Phone,clicked,
R002,2024-02-02,Phone,opened,
R002,2024-09-16,LinkedIn,no_response,
R002,2024-08-21,Phone,sent,
R002,2024-01-03,Phone,no_response,
R002,2024-12-12,Phone,sent,
R002,2024-11-03,Email,sent,
R003,2024-08-14,Phone,replied,26
R003,2024-10-10,LinkedIn,opened,
R003,2024-03-10,LinkedIn,opened,
R003,2024-11-08,LinkedIn,clicked,
R003,2024-12-29,LinkedIn,sent,
R003,2024-09-10,LinkedIn,declined,
R003,2024-05-23,Phone,no_response,
R004,2024-01-24,Email,sent,
R004,2024-08-21,LinkedIn,clicked,
R004,2024-11-28,Email,declined,
R004,2024-06-23,Email,sent,
R004,2024-11-27,LinkedIn,sent,
R005,2024-11-20,Phone,sent,
R005,2024-12-22,Phone,scheduled,
R005,2024-06-07,Phone,replied,69
R005,2024-12-13,Phone,scheduled,
R005,2024-12-13,Phone,sent,
R005,2024-10-12,Phone,clicked,
R005,2024-01-18,Phone,replied,57
R006,2024-02-13,Email,sent,
R006,2024-06-03,Phone,no_response,
R006,2024-12-20,Phone,declined,
R007,2024-08-18,Email,sent,
R007,2024-11-11,Email,sent,
R007,2024-08-12,Email,opened,
R007,2024-08-04,Email,scheduled,
R007,2024-02-25,Phone,no_response,
R008,2024-01-31,Email,clicked,
R008,2024-12-22,Phone,sent,
R008,2024-02-28,Phone,sent,
R008,2024-12-18,Phone,declined,
R009,2024-08-22,Phone,sent,
R009,2024-04-16,LinkedIn,clicked,
R009,2024-07-09,Email,sent,
R009,2024-01-18,Email,sent,
R009,2024-08-13,Phone,sent,
R009,2024-06-15,Email,sent,
R009,2024-03-11,Email,clicked,
R010,2024-12-27,Phone,sent,
R010,2024-02-23,Email,replied,20
R010,2024-09-01,Phone,opened,
R011,2024-12-15,Email,opened,
R011,2024-03-16,LinkedIn,opened,
R011,2024-02-04,Email,clicked,
R011,2024-09-23,Email,sent,
R012,2024-11-12,Phone,replied,66
R012,2024-10-26,Phone,opened,
R012,2024-04-30,Email,sent,
R013,2024-11-19,Phone,clicked,
R013,2024-01-25,LinkedIn,opened,
R013,2024-06-08,LinkedIn,sent,
R014,2024-03-24,Phone,replied,21
R014,2024-04-23,LinkedIn,sent,
R014,2024-08-10,LinkedIn,opened,
R015,2024-06-14,Email,replied,60
R015,2024-07-09,LinkedIn,sent,
R015,2024-06-23,LinkedIn,sent,
R015,2024-01-01,Email,sent,
R016,2024-08-16,Email,sent,
R016,2024-03-26,LinkedIn,sent,
R016,2024-03-02,Phone,no_response,
R016,2024-11-15,LinkedIn,no_response,
R016,2024-07-24,Email,scheduled,
R016,2024-04-14,Phone,sent,
R017,2024-11-13,LinkedIn,declined,
R017,2024-10-17,LinkedIn,opened,
R017,2024-09-06,LinkedIn,sent,
R018,2024-01-13,Email,sent,
R018,2024-06-11,LinkedIn,sent,
R018,2024-02-12,LinkedIn,replied,63
R018,2024-04-20,Email,opened,
R019,2024-07-23,Email,no_response,
R019,2024-09-12,Email,no_response,
R019,2024-11-02,Email,declined,
R019,2024-05-23,Email,sent,
R020,2024-05-25,Email,opened,
R020,2024-10-27,Email,no_response,
R020,2024-06-12,Email,sent,
R021,2024-06-17,Phone,replied,51
R021,2024-10-24,Phone,sent,
R021,2024-08-20,LinkedIn,sent,
R021,2024-09-27,Phone,opened,
R021,2024-02-29,Phone,no_response,
R021,2024-10-22,Phone,opened,
R022,2024-08-22,Phone,declined,
R022,2024-06-13,LinkedIn,opened,
R022,2024-07-12,Email,declined,
R022,2024-08-21,LinkedIn,sent,
R022,2024-07-01,LinkedIn,sent,
R022,2024-11-28,Email,sent,
R022,2024-08-19,Phone,sent,
R023,2024-12-26,Phone,sent,
R023,2024-04-16,Phone,scheduled,
R023,2024-08-10,Phone,opened,
R023,2024-03-20,Phone,sent,
R024,2024-08-21,Phone,sent,
R024,2024-07-02,Email,sent,
R024,2024-07-03,LinkedIn,sent,
R025,2024-05-13,LinkedIn,sent,
R025,2024-08-07,LinkedIn,opened,
R025,2024-10-14,LinkedIn,sent,
R025,2024-12-29,LinkedIn,clicked,
R025,2024-07-20,Phone,no_response,
R025,2024-05-25,LinkedIn,sent,
R025,2024-11-19,Phone,sent,
R026,2024-05-06,LinkedIn,sent,
R026,2024-05-14,LinkedIn,sent,
R026,2024-04-23,LinkedIn,sent,
R026,2024-09-20,LinkedIn,declined,
R026,2024-03-04,LinkedIn,sent,
R027,2024-05-14,LinkedIn,replied,39
R027,2024-02-10,LinkedIn,sent,
R027,2024-10-22,LinkedIn,declined,
R027,2024-01-03,LinkedIn,scheduled,
R027,2024-07-12,LinkedIn,sent,
R027,2024-04-19,Email,sent,
R028,2024-08-08,Phone,opened,
R028,2024-01-04,Phone,no_response,
R028,2024-08-31,Phone,sent,
R029,2024-06-14,LinkedIn,sent,
R029,2024-01-26,Phone,sent,
R029,2024-01-17,Email,sent,
R029,2024-08-03,Email,replied,11
R030,2024-04-01,Email,no_response,
R030,2024-01-31,Email,sent,
R030,2024-07-23,Email,sent,
R031,2024-07-25,LinkedIn,sent,
R031,2024-04-16,LinkedIn,no_response,
R031,2024-05-25,LinkedIn,replied,57
R031,2024-04-10,Email,sent,
R032,2024-11-13,LinkedIn,sent,
R032,2024-08-28,Phone,replied,3
R032,2024-09-03,Email,sent,
R032,2024-06-11,Phone,sent,
R032,2024-06-21,Phone,sent,
R032,2024-02-04,LinkedIn,sent,
R032,2024-10-10,LinkedIn,sent,
R032,2024-12-24,LinkedIn,replied,37
R033,2024-12-23,LinkedIn,opened,
R033,2024-01-21,LinkedIn,sent,
R033,2024-11-03,Email,sent,
R033,2024-06-11,LinkedIn,scheduled,
R033,2024-04-06,Email,sent,
R033,2024-11-02,Email,sent,
R034,2024-12-04,Email,sent,
R034,2024-02-24,Email,no_response,
R034,2024-11-28,Email,sent,
R035,2024-05-06,LinkedIn,sent,
R035,2024-07-11,LinkedIn,opened,
R035,2024-08-30,LinkedIn,sent,
R035,2024-12-14,LinkedIn,replied,25
R035,2024-03-28,LinkedIn,declined,
R035,2024-12-01,LinkedIn,sent,
R036,2024-08-02,Email,sent,
R036,2024-04-01,Email,opened,
R036,2024-10-29,Email,sent,
R036,2024-08-22,Email,declined,
R036,2024-07-02,Email,opened,
R037,2024-02-07,LinkedIn,sent,
R037,2024-05-18,Email,replied,21
R037,2024-07-13,Email,sent,
R038,2024-01-15,LinkedIn,opened,
R038,2024-09-13,Phone,declined,
R038,2024-05-14,Phone,replied,42
R039,2024-01-01,Email,opened,
R039,2024-02-18,LinkedIn,clicked,
R039,2024-04-05,LinkedIn,sent,
R040,2024-07-19,Email,opened,
R040,2024-01-26,Phone,sent,
R040,2024-12-08,Email,clicked,
R040,2024-08-22,LinkedIn,sent,
R041,2024-12-14,Email,sent,
R041,2024-08-31,Email,replied,1
R041,2024-12-23,Email,sent,
R041,2024-11-22,Email,sent,
R041,2024-12-16,Phone,sent,
R041,2024-02-20,Email,sent,
R042,2024-03-21,Email,opened,
R042,2024-02-05,LinkedIn,sent,
R042,2024-03-07,LinkedIn,sent,
R042,2024-05-08,Email,sent,
R043,2024-06-03,Email,sent,
R043,2024-09-01,Phone,sent,
R043,2024-04-20,Email,sent,
R043,2024-06-16,LinkedIn,sent,
R043,2024-05-21,Email,sent,
R043,2024-12-21,Email,no_response,
R044,2024-07-15,Email,no_response,
R044,2024-04-18,Phone,sent,
R044,2024-03-19,LinkedIn,sent,
R044,2024-06-09,LinkedIn,opened,
R045,2024-01-19,Phone,opened,
R045,2024-05-06,LinkedIn,replied,23
R045,2024-07-23,LinkedIn,sent,
R045,2024-01-29,Phone,opened,
R045,2024-07-25,Phone,no_response,
R046,2024-10-06,Email,sent,
R046,2024-05-30,Email,sent,
R046,2024-08-27,LinkedIn,sent,
R046,2024-09-22,Email,sent,
R046,2024-06-30,Email,sent,
R046,2024-04-14,Email,declined,
R046,2024-08-23,LinkedIn,sent,
R046,2024-06-21,LinkedIn,sent,
R047,2024-06-06,LinkedIn,no_response,
R047,2024-06-20,Phone,sent,
R047,2024-11-06,LinkedIn,sent,
R047,2024-06-05,LinkedIn,sent,
R047,2024-09-14,LinkedIn,sent,
R047,2024-06-12,Phone,sent,
R048,2024-05-26,Phone,no_response,
R048,2024-06-02,Phone,sent,
R048,2024-02-07,Email,opened,
R048,2024-05-10,LinkedIn,sent,
R048,2024-12-23,Phone,replied,24
R048,2024-09-11,Email,opened,
R049,2024-07-26,Phone,replied,47
R049,2024-04-04,LinkedIn,sent,
R049,2024-12-13,Phone,no_response,
R049,2024-11-22,Phone,no_response,
R049,2024-06-19,Email,clicked,
R049,2024-09-06,LinkedIn,sent,
R050,2024-07-08,Email,sent,
R050,2024-07-17,Email,sent,
R050,2024-08-08,Email,sent,
R051,2024-01-24,Phone,scheduled,
R051,2024-08-31,Phone,opened,
R051,2024-11-19,Phone,opened,
R051,2024-05-07,Phone,sent,
R051,2024-04-02,Email,sent,
R052,2024-10-26,Email,sent,
R052,2024-05-12,LinkedIn,sent,
R052,2024-02-24,Email,scheduled,
R052,2024-06-06,LinkedIn,sent,
R053,2024-01-29,Email,clicked,
R053,2024-07-29,LinkedIn,opened,
R053,2024-06-02,Email,no_response,
R053,2024-10-19,Email,sent,
R054,2024-08-09,Email,sent,
R054,2024-04-24,Email,sent,
R054,2024-06-06,Email,sent,
R054,2024-09-15,Email,opened,
R054,2024-09-07,Email,scheduled,
R055,2024-05-01,Email,sent,
R055,2024-10-25,Email,sent,
R055,2024-09-19,Email,opened,
R056,2024-02-18,Email,sent,
R056,2024-11-24,Phone,opened,
R056,2024-10-23,Email,replied,7
R056,2024-12-27,Email,opened,
R056,2024-03-17,Email,declined,
R057,2024-05-06,Email,clicked,
R057,2024-07-15,LinkedIn,no_response,
R057,2024-08-08,Email,clicked,
R057,2024-03-31,Phone,sent,
R057,2024-01-08,Email,sent,
R057,2024-02-01,Phone,replied,38
R058,2024-11-15,Email,sent,
R058,2024-09-25,Email,opened,
R058,2024-07-09,Email,no_response,
R059,2024-12-14,LinkedIn,clicked,
R059,2024-06-11,Phone,sent,
R059,2024-03-01,Phone,sent,
R059,2024-09-20,Phone,sent,
